id,n_sents,abs_words,body_words,lead3_r1,lead3_r2,lead3_rL,textrank_r1,textrank_r2,textrank_rL
000001.txt.seg,13,26,237,0.1525,0.069,0.1356,0.1071,0.0182,0.1071
000002.txt.seg,10,25,280,0.193,0.0893,0.193,0.176,0.0813,0.176
000003.txt.seg,34,40,942,0.2707,0.1374,0.2256,0.2623,0.0994,0.1858
000004.txt.seg,17,35,511,0.4,0.2378,0.3034,0.2533,0.1498,0.1834
000005.txt.seg,22,29,657,0.3107,0.198,0.2718,0.1905,0.0241,0.119
000006.txt.seg,7,37,168,0.3172,0.1958,0.2483,0.1391,0.0177,0.1043
000007.txt.seg,19,32,595,0.2483,0.0699,0.1655,0.1878,0.0559,0.1326
000008.txt.seg,29,35,666,0.2105,0.0357,0.1053,0.2857,0.0364,0.1786
000009.txt.seg,31,52,917,0.2609,0.0629,0.1739,0.2604,0.0526,0.1354
000010.txt.seg,7,25,117,0.2991,0.1143,0.2056,0.2955,0.1163,0.25
000011.txt.seg,17,40,349,0.1613,0.0164,0.129,0.3333,0.08,0.2157
000012.txt.seg,19,41,428,0.2667,0.0676,0.1733,0.3286,0.1159,0.2143
000013.txt.seg,20,21,445,0.3171,0.175,0.2927,0.1429,0.0,0.1224
000014.txt.seg,19,32,590,0.2312,0.1218,0.1709,0.2673,0.1488,0.1935
000015.txt.seg,8,30,188,0.2013,0.0408,0.1342,0.2276,0.0496,0.1463
000016.txt.seg,11,42,360,0.1677,0.0121,0.1078,0.3282,0.1969,0.2872
000017.txt.seg,17,34,417,0.2993,0.2207,0.2449,0.4037,0.3178,0.3303
000018.txt.seg,14,39,546,0.3226,0.1475,0.2419,0.2018,0.0463,0.1101
000019.txt.seg,28,39,552,0.2857,0.1197,0.2185,0.2342,0.0367,0.1982
000020.txt.seg,22,23,506,0.0685,0.0,0.0548,0.1463,0.0,0.0732
000021.txt.seg,11,32,229,0.5455,0.463,0.4182,0.2241,0.0877,0.1379
000022.txt.seg,16,33,353,0.2115,0.0196,0.1538,0.2462,0.0312,0.1538
000023.txt.seg,6,34,181,0.1528,0.0141,0.0833,0.2025,0.0128,0.1013
000024.txt.seg,22,43,573,0.2353,0.0714,0.1647,0.3252,0.1818,0.2276
000025.txt.seg,14,38,574,0.0986,0.0,0.0704,0.0426,0.0,0.0255
000026.txt.seg,9,34,208,0.6239,0.5981,0.6239,0.2529,0.0941,0.2069
000027.txt.seg,12,32,275,0.25,0.0896,0.1324,0.3511,0.186,0.2595
000028.txt.seg,8,20,234,0.2656,0.1587,0.2188,0.3036,0.2,0.25
000029.txt.seg,10,23,259,0.2517,0.1702,0.1818,0.3582,0.1846,0.2985
000030.txt.seg,28,28,792,0.1463,0.0988,0.1463,0.0654,0.0,0.0523
000031.txt.seg,12,48,355,0.3298,0.172,0.2553,0.3836,0.1528,0.3014
000032.txt.seg,15,36,688,0.1238,0.0525,0.0847,0.1608,0.0406,0.1005
000033.txt.seg,28,30,551,0.1401,0.0258,0.1146,0.2439,0.025,0.0976
000034.txt.seg,12,40,359,0.2137,0.031,0.1069,0.2158,0.0438,0.1151
000035.txt.seg,9,36,188,0.1682,0.019,0.1495,0.1607,0.0182,0.1429
000036.txt.seg,13,36,492,0.2159,0.046,0.1023,0.2105,0.0592,0.1287
000037.txt.seg,25,22,688,0.0893,0.0182,0.0893,0.15,0.0847,0.1167
000038.txt.seg,34,76,1199,0.2237,0.08,0.1447,0.3707,0.266,0.3122
000039.txt.seg,13,37,310,0.4112,0.2667,0.3551,0.1875,0.0952,0.1562
000040.txt.seg,12,18,284,0.128,0.0325,0.064,0.28,0.0816,0.22
000041.txt.seg,8,26,195,0.2764,0.0992,0.2114,0.3262,0.2014,0.2979
000042.txt.seg,25,33,614,0.1869,0.0381,0.1495,0.193,0.0357,0.1754
000043.txt.seg,6,26,123,0.2857,0.1042,0.2041,0.3265,0.125,0.2041
000044.txt.seg,36,42,615,0.1333,0.0,0.1111,0.1,0.0,0.0667
000045.txt.seg,17,38,427,0.507,0.4143,0.4648,0.3125,0.1587,0.2656
000046.txt.seg,26,19,535,0.1538,0.0348,0.1026,0.1698,0.0192,0.1132
000047.txt.seg,26,28,595,0.1957,0.0,0.1522,0.1791,0.0,0.1045
000048.txt.seg,23,16,584,0.1802,0.055,0.1441,0.1176,0.02,0.098
000049.txt.seg,11,48,257,0.2169,0.0366,0.1446,0.2857,0.029,0.1714
000050.txt.seg,15,23,398,0.0787,0.0,0.063,0.1705,0.0472,0.1085
000051.txt.seg,18,27,317,0.1429,0.0882,0.1429,0.1489,0.0217,0.1064
000052.txt.seg,23,41,671,0.2842,0.1215,0.1967,0.1704,0.0362,0.0987
000053.txt.seg,19,27,334,0.1616,0.0412,0.101,0.314,0.0336,0.1983
000054.txt.seg,16,33,501,0.2955,0.1264,0.2159,0.3295,0.2184,0.2955
000055.txt.seg,10,21,220,0.1345,0.0342,0.1008,0.1212,0.0412,0.101
000056.txt.seg,12,34,451,0.375,0.3218,0.3523,0.4051,0.3462,0.3924
000057.txt.seg,12,38,482,0.2599,0.0914,0.1469,0.2703,0.0874,0.1514
000058.txt.seg,9,22,170,0.2692,0.0588,0.1538,0.3415,0.1,0.1707
000059.txt.seg,19,34,369,0.3077,0.0526,0.1538,0.2368,0.0133,0.1184
000060.txt.seg,18,27,378,0.1455,0.0185,0.1091,0.0519,0.0,0.0519
000061.txt.seg,21,29,690,0.3774,0.2308,0.3396,0.1478,0.0199,0.0887
000062.txt.seg,13,23,361,0.2364,0.1296,0.2182,0.1782,0.0606,0.1584
000063.txt.seg,12,34,324,0.1985,0.0465,0.1679,0.3538,0.1094,0.2
000064.txt.seg,13,29,230,0.2642,0.0769,0.2264,0.3107,0.0396,0.1165
000065.txt.seg,15,30,285,0.2105,0.0611,0.1654,0.2353,0.0684,0.2017
000066.txt.seg,24,58,609,0.2376,0.2222,0.2376,0.3152,0.2577,0.2909
000067.txt.seg,11,37,469,0.3027,0.2186,0.2595,0.2379,0.16,0.2115
000068.txt.seg,20,36,447,0.1379,0.0,0.0966,0.1681,0.0,0.1176
000069.txt.seg,14,49,311,0.2595,0.062,0.1527,0.24,0.0676,0.16
000070.txt.seg,8,25,218,0.2203,0.1724,0.1864,0.2069,0.1399,0.1793
000071.txt.seg,12,22,263,0.087,0.0177,0.0696,0.0862,0.0,0.069
000072.txt.seg,22,37,671,0.1695,0.0172,0.1186,0.1511,0.0179,0.1244
000073.txt.seg,15,26,202,0.3,0.2414,0.3,0.3562,0.2254,0.3014
000074.txt.seg,17,33,286,0.0714,0.0,0.0714,0.2913,0.0396,0.1748
000075.txt.seg,32,19,829,0.125,0.0563,0.0833,0.0902,0.0,0.0752
000076.txt.seg,34,37,879,0.2353,0.0,0.1176,0.1085,0.0,0.0775
000077.txt.seg,18,45,459,0.2368,0.0933,0.1579,0.1582,0.0114,0.1356
000078.txt.seg,15,24,328,0.0926,0.0189,0.0926,0.1008,0.0171,0.084
000079.txt.seg,24,52,608,0.2326,0.0315,0.124,0.2817,0.1,0.1831
000080.txt.seg,14,29,310,0.2927,0.2149,0.2764,0.0769,0.0,0.0577
000081.txt.seg,18,26,325,0.129,0.0333,0.129,0.1346,0.0,0.0769
000082.txt.seg,11,26,179,0.1802,0.0,0.1261,0.1798,0.0,0.0899
000083.txt.seg,17,26,355,0.24,0.1463,0.24,0.0708,0.0,0.0708
000084.txt.seg,12,22,304,0.2727,0.1296,0.1273,0.2037,0.0566,0.1481
000085.txt.seg,14,24,450,0.3056,0.2254,0.3056,0.2529,0.186,0.2529
000086.txt.seg,8,34,193,0.1975,0.075,0.0988,0.1636,0.0,0.0909
000087.txt.seg,8,35,225,0.3176,0.1786,0.2353,0.1679,0.031,0.1069
000088.txt.seg,10,35,181,0.2807,0.0714,0.1754,0.3115,0.0833,0.2459
000089.txt.seg,7,29,170,0.2667,0.0902,0.1926,0.2923,0.1406,0.2
000090.txt.seg,13,21,200,0.1553,0.0,0.1165,0.2198,0.0674,0.1978
000091.txt.seg,26,37,752,0.1979,0.0421,0.1146,0.2992,0.096,0.2047
