id,lead3_r1,lead3_r2,lead3_rL,textrank_r1,textrank_r2,textrank_rL,vit5_r1,vit5_r2,vit5_rL
000001.txt.seg,0.1818,0.0851,0.1538,0.1304,0.0294,0.1159,0.1515,0.0625,0.1515
000002.txt.seg,0.239,0.1146,0.2013,0.2222,0.1065,0.1871,0.2973,0.1389,0.1892
000003.txt.seg,0.2924,0.1657,0.2222,0.2672,0.1217,0.1983,0.283,0.0962,0.1509
000004.txt.seg,0.3878,0.268,0.2857,0.2576,0.1775,0.1831,0.3529,0.26,0.2745
000005.txt.seg,0.3194,0.2394,0.2639,0.1935,0.0651,0.1198,0.3429,0.2059,0.2286
000006.txt.seg,0.3103,0.1977,0.2299,0.1528,0.0282,0.0972,0.4308,0.1587,0.2769
000007.txt.seg,0.2512,0.0878,0.1643,0.1855,0.0894,0.121,0.1928,0.0988,0.1687
000008.txt.seg,0.2817,0.0714,0.1268,0.3862,0.1119,0.2207,0.3333,0.1143,0.2222
000009.txt.seg,0.253,0.061,0.1687,0.2525,0.051,0.1313,0.0194,0.0,0.0194
000010.txt.seg,0.2937,0.1702,0.2098,0.3,0.1525,0.25,0.4,0.254,0.4
000011.txt.seg,0.2169,0.0732,0.1566,0.3607,0.15,0.2295,0.1928,0.0741,0.1446
000012.txt.seg,0.2737,0.1064,0.1684,0.3455,0.1693,0.2304,0.3614,0.1481,0.2651
000013.txt.seg,0.3652,0.2478,0.3478,0.2121,0.0615,0.1667,0.1395,0.0714,0.1395
000014.txt.seg,0.223,0.1273,0.171,0.2474,0.1592,0.1856,0.3516,0.1798,0.3077
000015.txt.seg,0.2034,0.08,0.1356,0.2078,0.0658,0.1299,0.2069,0.0714,0.1379
000016.txt.seg,0.1567,0.0093,0.0922,0.3162,0.1912,0.2609,0.1188,0.0,0.0792
000017.txt.seg,0.3352,0.2486,0.2458,0.4296,0.3459,0.3259,0.2796,0.1099,0.172
000018.txt.seg,0.3418,0.1923,0.2532,0.2071,0.0717,0.1036,0.3175,0.1774,0.254
