reviewer,id,variant,factuality,coverage_0_1_2,evidence_quote,notes
R1,000002.txt.seg,original,,,,
R1,000002.txt.seg,spaces,,,,
R1,000027.txt.seg,original,,,,
R1,000027.txt.seg,spaces,,,,
R1,000052.txt.seg,original,,,,
R1,000052.txt.seg,spaces,,,,
R1,000077.txt.seg,original,,,,
R1,000077.txt.seg,spaces,,,,
R1,000102.txt.seg,original,,,,
R1,000102.txt.seg,spaces,,,,
R1,000127.txt.seg,original,,,,
R1,000127.txt.seg,spaces,,,,
R1,000152.txt.seg,original,,,,
R1,000152.txt.seg,spaces,,,,
R1,000177.txt.seg,original,,,,
R1,000177.txt.seg,spaces,,,,
R1,000202.txt.seg,original,,,,
R1,000202.txt.seg,spaces,,,,
R1,000227.txt.seg,original,,,,
R1,000227.txt.seg,spaces,,,,
R1,000252.txt.seg,original,,,,
R1,000252.txt.seg,spaces,,,,
R1,000277.txt.seg,original,,,,
R1,000277.txt.seg,spaces,,,,
R1,000302.txt.seg,original,,,,
R1,000302.txt.seg,spaces,,,,
R1,000327.txt.seg,original,,,,
R1,000327.txt.seg,spaces,,,,
R1,000352.txt.seg,original,,,,
R1,000352.txt.seg,spaces,,,,
R1,000377.txt.seg,original,,,,
R1,000377.txt.seg,spaces,,,,
R1,000402.txt.seg,original,,,,
R1,000402.txt.seg,spaces,,,,
R1,000427.txt.seg,original,,,,
R1,000427.txt.seg,spaces,,,,
R1,000452.txt.seg,original,,,,
R1,000452.txt.seg,spaces,,,,
R1,000477.txt.seg,original,,,,
R1,000477.txt.seg,spaces,,,,
R2,000002.txt.seg,original,,,,
R2,000002.txt.seg,spaces,,,,
R2,000027.txt.seg,original,,,,
R2,000027.txt.seg,spaces,,,,
R2,000052.txt.seg,original,,,,
R2,000052.txt.seg,spaces,,,,
R2,000077.txt.seg,original,,,,
R2,000077.txt.seg,spaces,,,,
R2,000102.txt.seg,original,,,,
R2,000102.txt.seg,spaces,,,,
R2,000127.txt.seg,original,,,,
R2,000127.txt.seg,spaces,,,,
R2,000152.txt.seg,original,,,,
R2,000152.txt.seg,spaces,,,,
R2,000177.txt.seg,original,,,,
R2,000177.txt.seg,spaces,,,,
R2,000202.txt.seg,original,,,,
R2,000202.txt.seg,spaces,,,,
R2,000227.txt.seg,original,,,,
R2,000227.txt.seg,spaces,,,,
R2,000252.txt.seg,original,,,,
R2,000252.txt.seg,spaces,,,,
R2,000277.txt.seg,original,,,,
R2,000277.txt.seg,spaces,,,,
R2,000302.txt.seg,original,,,,
R2,000302.txt.seg,spaces,,,,
R2,000327.txt.seg,original,,,,
R2,000327.txt.seg,spaces,,,,
R2,000352.txt.seg,original,,,,
R2,000352.txt.seg,spaces,,,,
R2,000377.txt.seg,original,,,,
R2,000377.txt.seg,spaces,,,,
R2,000402.txt.seg,original,,,,
R2,000402.txt.seg,spaces,,,,
R2,000427.txt.seg,original,,,,
R2,000427.txt.seg,spaces,,,,
R2,000452.txt.seg,original,,,,
R2,000452.txt.seg,spaces,,,,
R2,000477.txt.seg,original,,,,
R2,000477.txt.seg,spaces,,,,
